n,time
110,121
120,3
130,2
140,1
150,2
160,2
170,2
180,2
190,2
200,1
210,1
220,3
230,1
240,2
250,1
260,1
270,1
280,2
290,1
300,2
310,3
320,2
330,2
340,2
350,2
360,2
370,1
380,4
390,4
400,445
410,6
420,2
430,5
440,2
450,2
460,1
470,4
480,2
490,3
500,6
510,1
520,3
530,4
540,3
550,2
560,7
570,2
580,2
590,3
600,4
610,3
620,19
630,2
640,3
650,2
660,22
670,4
680,2
690,3
700,800
710,12
720,7
730,11
740,22
750,21
760,6
770,13
780,15
790,0
800,0
810,0
820,2
830,2
840,2
850,4
860,1
870,2
880,1
890,0
900,0
910,0
920,1
930,0
940,1
950,0
960,6
970,0
980,0
990,0
1000,3
1010,0
1020,0
1030,0
1040,1
1050,0
1060,0
1070,5
1080,4
1090,1
1100,239
1110,2
1120,4
1130,0
1140,0
1150,4
1160,0
1170,0
1180,0
1190,0
1200,0
1210,3
1220,2
1230,1
1240,0
1250,2
1260,3
1270,0
1280,1
1290,1
1300,5
1310,0
1320,5
1330,0
1340,2
1350,11
1360,6
1370,3
1380,1
1390,3
1400,3
1410,0
1420,0
1430,0
1440,4
1450,3
1460,2
1470,2
1480,4
1490,2
1500,0
1510,0
1520,0
1530,8
1540,0
1550,1
1560,0
1570,2
1580,4
1590,0
1600,346
1610,6
1620,1
1630,8
1640,1
1650,0
1660,8
1670,0
1680,4
1690,2
1700,4
1710,6
1720,11
1730,1
1740,0
1750,0
1760,6
1770,4
1780,1
1790,1
1800,4
1810,5
1820,1
1830,7
1840,3
1850,2
1860,2
1870,0
1880,0
1890,1
1900,16
1910,0
1920,8
1930,0
1940,0
1950,4
1960,0
1970,1
1980,2
1990,7
2000,11
2010,1
2020,0
2030,2
2040,1
2050,1
2060,2
2070,0
2080,0
2090,1
2100,1
2110,3
2120,2
2130,1
2140,4
2150,9
2160,5
2170,1
2180,8
2190,0
2200,3
2210,7
2220,9
2230,1
2240,3
2250,0
2260,13
2270,1
2280,2
2290,0
2300,1
2310,17
2320,1
2330,2
2340,6
2350,4
2360,2
2370,13
2380,6
2390,8
2400,4
2410,0
2420,0
2430,5
2440,4
2450,17
2460,13
2470,1
2480,4
2490,0
2500,10
2510,1
2520,6
2530,1
2540,2
2550,1
2560,3
2570,5
2580,2
2590,0
2600,6
2610,1
2620,13
2630,0
2640,4
2650,14
2660,8
2670,2
2680,5
2690,0
2700,4
2710,1
2720,13
2730,0
2740,0
2750,5
2760,6
2770,5
2780,1
2790,8
2800,9
2810,1
2820,1
2830,2
2840,4
2850,3
2860,5
2870,7
2880,15
2890,49
2900,0
2910,21
2920,1
2930,17
2940,2
2950,8
2960,1
2970,4
2980,2
2990,3
3000,2
3010,0
3020,0
3030,2
3040,4
3050,14
3060,15
3070,14
3080,6
3090,5
3100,4
3110,2
3120,4
3130,6
3140,11
3150,6
3160,10
3170,4
3180,0
3190,2
3200,0
3210,1
3220,5
3230,15
3240,32
3250,0
3260,9
3270,3
3280,17
3290,4
3300,9
3310,4
3320,13
3330,4
3340,2
3350,1
3360,23
3370,12
3380,16
3390,4
3400,11
3410,2
3420,8
3430,12
3440,0
3450,2
3460,12
3470,8
3480,5
3490,1
3500,6
3510,14
3520,2
3530,0
3540,3
3550,31
3560,8
3570,9
3580,0
3590,11
3600,2
3610,4
3620,6
3630,20
3640,3
3650,3
3660,3
3670,7
3680,18
3690,7
3700,1
3710,15
3720,2
3730,5
3740,5
3750,13
3760,22
3770,15
3780,12
3790,23
3800,1
3810,4
3820,4
3830,4
3840,1
3850,1
3860,4
3870,1
3880,18
3890,1
3900,3
3910,0
3920,15
3930,6
3940,44
3950,11
3960,0
3970,1
3980,4
3990,1
4000,1
4010,15
4020,2
4030,5
4040,2
4050,0
4060,6
4070,1
4080,27
4090,2
4100,14
4110,15
4120,39
4130,10
4140,7
4150,10
4160,21
4170,7
4180,2
4190,5
4200,4
4210,6
4220,19
4230,6
4240,2
4250,3
4260,6
4270,13
4280,9
4290,4
4300,3
4310,2
4320,8
4330,1
4340,12
4350,1
4360,1
4370,29
4380,6
4390,0
4400,2
4410,22
4420,16
4430,27
4440,15
4450,12
4460,6
4470,1
4480,0
4490,0
4500,13
4510,21
4520,17
4530,5
4540,7
4550,19
4560,5
4570,8
4580,2
4590,28
4600,9
4610,1
4620,1
4630,3
4640,1
4650,34
4660,6
4670,24
4680,50
4690,4
4700,5
4710,8
4720,2
4730,21
4740,26
4750,23
4760,23
4770,4
4780,0
4790,3
4800,5
4810,14
4820,14
4830,0
4840,20
4850,11
4860,2
4870,12
4880,0
4890,0
4900,0
4910,13
4920,14
4930,39
4940,0
4950,6
4960,2
4970,2
4980,37
4990,12
5000,1
5010,2
5020,4
5030,24
5040,3
5050,1
5060,4
5070,15
5080,13
5090,8
5100,30
5110,48
5120,3
5130,1
5140,4
5150,16
5160,5
5170,3
5180,1
5190,5
5200,5
5210,2
5220,11
5230,18
5240,8
5250,4
5260,0
5270,2
5280,13
5290,20
5300,5
5310,2
5320,13
5330,1
5340,5
5350,0
5360,36
5370,35
5380,33
5390,20
5400,12
5410,9
5420,15
5430,4
5440,5
5450,3
5460,2
5470,2
5480,15
5490,12
5500,0
5510,1
5520,24
5530,12
5540,6
5550,50
5560,25
5570,18
5580,31
5590,6
5600,2
5610,30
5620,40
5630,4
5640,4
5650,20
5660,1
5670,1
5680,1
5690,0
5700,1
5710,4
5720,4
5730,22
5740,2
5750,5
5760,19
5770,2
5780,24
5790,2
5800,29
5810,9
5820,0
5830,1
5840,27
5850,4
5860,41
5870,4
5880,9
5890,5
5900,21
5910,0
5920,0
5930,14
5940,3
5950,4
5960,7
5970,12
5980,7
5990,16
6000,1
6010,0
6020,48
6030,33
6040,1
6050,1
6060,5
6070,0
6080,4
6090,2
6100,21
6110,44
6120,10
6130,0
6140,13
6150,2
6160,16
6170,18
6180,5
6190,1
6200,22
6210,13
6220,2
6230,8
6240,2
6250,0
6260,2
6270,30
6280,6
6290,0
6300,11
6310,6
6320,18
6330,31
6340,8
6350,2
6360,15
6370,15
6380,35
6390,1
6400,18
6410,13
6420,2
6430,0
6440,11
6450,22
6460,18
6470,17
6480,57
6490,83
6500,41
6510,65
6520,1
6530,6
6540,17
6550,2
6560,3
6570,2
6580,23
6590,16
6600,4
6610,12
6620,14
6630,19
6640,52
6650,30
6660,1
6670,62
6680,29
6690,42
6700,2
6710,18
6720,0
6730,1
6740,50
6750,12
6760,43
6770,28
6780,53
6790,9
6800,27
6810,23
6820,15
6830,40
6840,0
6850,13
6860,1
6870,29
6880,22
6890,9
6900,13
6910,21
6920,0
6930,8
6940,1
6950,5
6960,30
6970,3
6980,11
6990,1
7000,36
7010,1
7020,4
7030,8
7040,2
7050,10
7060,2
7070,56
7080,32
7090,0
7100,2
7110,69
7120,1
7130,17
7140,23
7150,74
7160,5
7170,18
7180,8
7190,1
7200,0
7210,19
7220,11
7230,4
7240,36
7250,1
7260,11
7270,34
7280,1
7290,17
7300,3
7310,6
7320,18
7330,4
7340,12
7350,0
7360,20
7370,1
7380,11
7390,0
7400,34
7410,0
7420,1
7430,12
7440,24
7450,8
7460,5
7470,3
7480,45
7490,21
7500,0
7510,12
7520,55
7530,0
7540,2
7550,2
7560,11
7570,36
7580,0
7590,7
7600,17
7610,4
7620,46
7630,1
7640,34
7650,20
7660,11
7670,25
7680,33
7690,17
7700,25
7710,2
7720,5
7730,16
7740,11
7750,8
7760,14
7770,5
7780,6
7790,5
7800,4
7810,13
7820,37
7830,24
7840,28
7850,18
7860,52
7870,386
7880,11
7890,4
7900,25
7910,24
7920,13
7930,1
7940,5
7950,1
7960,15
7970,1
7980,12
7990,0
8000,1
8010,55
8020,31
8030,14
8040,19
8050,13
8060,4
8070,13
8080,1
8090,22
8100,0
8110,26
8120,1
8130,2
8140,19
8150,3
8160,28
8170,14
8180,13
8190,36
8200,23
8210,6
8220,9
8230,4
8240,5
8250,2
8260,64
8270,21
8280,15
8290,8
8300,24
8310,37
8320,5
8330,6
8340,7
8350,2
8360,2
8370,29
8380,20
8390,1
8400,8
8410,23
8420,8
8430,9
8440,8
8450,5
8460,18
8470,6
8480,5
8490,16
8500,7
8510,5
8520,1
8530,0
8540,6
8550,21
8560,6
8570,5
8580,26
8590,4
8600,25
8610,27
8620,2
8630,2
8640,21
8650,11
8660,2
8670,4
8680,5
8690,13
8700,1860
8710,18
8720,8
8730,1
8740,29
8750,15
8760,35
8770,0
8780,14
8790,8
8800,24
8810,8
8820,79
8830,22
8840,14
8850,17
8860,30
8870,12
8880,10
8890,10
8900,4
8910,16
8920,7
8930,8
8940,1
8950,21
8960,1
8970,32
8980,8
8990,15
9000,16
9010,12
9020,37
9030,6
9040,18
9050,91
9060,0
9070,12
9080,13
9090,34
9100,53
9110,62
9120,48
9130,11
9140,43
9150,139
9160,247
9170,228
9180,13
9190,48
9200,77
9210,15
9220,13
9230,92
9240,72
9250,327
9260,96
9270,19
9280,30
9290,13
9300,79
9310,109
9320,46
9330,220
9340,132
9350,36
9360,38
9370,35
9380,155
9390,100
9400,43
9410,136
9420,201
9430,10
9440,187
9450,97
9460,335
9470,80
9480,2
9490,30
9500,85
9510,14
9520,32
9530,302
9540,209
9550,44
9560,28
9570,4
9580,357
9590,20
9600,196
9610,28
9620,90
9630,5
9640,57
9650,50
9660,526
9670,97
9680,28
9690,10
9700,49
9710,1
9720,15
9730,3
9740,5
9750,158
9760,13
9770,24
9780,13
9790,24
9800,9
9810,243
9820,49
9830,63
9840,10
9850,23
9860,14
9870,102
9880,46
9890,116
9900,52
9910,56
9920,94
9930,68
9940,76
9950,43
9960,13
9970,128
9980,157
9990,277
10000,18
