n,time
110,26
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,84
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,1
510,0
520,0
530,1
540,0
550,0
560,1
570,0
580,0
590,0
600,0
610,0
620,4
630,0
640,0
650,0
660,2
670,0
680,0
690,0
700,146
710,1
720,0
730,1
740,2
750,2
760,1
770,1
780,2
790,0
800,0
810,0
820,1
830,2
840,2
850,4
860,0
870,2
880,0
890,0
900,0
910,0
920,1
930,0
940,1
950,0
960,4
970,0
980,0
990,0
1000,2
1010,0
1020,0
1030,0
1040,1
1050,0
1060,0
1070,5
1080,4
1090,1
1100,228
1110,0
1120,3
1130,0
1140,0
1150,4
1160,0
1170,0
1180,0
1190,0
1200,0
1210,3
1220,2
1230,1
1240,0
1250,2
1260,2
1270,0
1280,1
1290,1
1300,5
1310,0
1320,4
1330,0
1340,3
1350,11
1360,4
1370,2
1380,0
1390,2
1400,3
1410,0
1420,0
1430,0
1440,3
1450,1
1460,1
1470,1
1480,4
1490,1
1500,0
1510,0
1520,0
1530,7
1540,0
1550,1
1560,0
1570,2
1580,4
1590,0
1600,340
1610,4
1620,1
1630,8
1640,1
1650,0
1660,8
1670,0
1680,4
1690,1
1700,5
1710,4
1720,8
1730,1
1740,1
1750,0
1760,5
1770,4
1780,2
1790,1
1800,2
1810,5
1820,1
1830,6
1840,2
1850,1
1860,1
1870,0
1880,0
1890,0
1900,12
1910,0
1920,9
1930,1
1940,0
1950,5
1960,0
1970,1
1980,1
1990,5
2000,8
2010,1
2020,0
2030,2
2040,0
2050,1
2060,2
2070,0
2080,0
2090,0
2100,1
2110,2
2120,2
2130,1
2140,4
2150,8
2160,4
2170,1
2180,4
2190,0
2200,4
2210,5
2220,9
2230,1
2240,2
2250,0
2260,12
2270,0
2280,2
2290,0
2300,0
2310,18
2320,1
2330,2
2340,3
2350,3
2360,1
2370,12
2380,4
2390,8
2400,4
2410,0
2420,0
2430,6
2440,2
2450,14
2460,11
2470,1
2480,2
2490,0
2500,8
2510,1
2520,8
2530,1
2540,3
2550,2
2560,3
2570,7
2580,1
2590,0
2600,5
2610,1
2620,13
2630,0
2640,4
2650,14
2660,8
2670,2
2680,7
2690,0
2700,4
2710,1
2720,13
2730,0
2740,0
2750,6
2760,5
2770,4
2780,0
2790,9
2800,7
2810,1
2820,1
2830,2
2840,4
2850,4
2860,5
2870,4
2880,12
2890,38
2900,0
2910,20
2920,1
2930,18
2940,2
2950,8
2960,1
2970,4
2980,4
2990,3
3000,2
3010,0
3020,0
3030,1
3040,4
3050,16
3060,15
3070,16
3080,8
3090,4
3100,4
3110,2
3120,5
3130,6
3140,10
3150,5
3160,8
3170,4
3180,0
3190,2
3200,0
3210,2
3220,4
3230,14
3240,25
3250,0
3260,8
3270,2
3280,15
3290,2
3300,7
3310,6
3320,13
3330,5
3340,2
3350,2
3360,22
3370,11
3380,15
3390,2
3400,8
3410,2
3420,7
3430,12
3440,0
3450,3
3460,12
3470,8
3480,5
3490,1
3500,5
3510,13
3520,2
3530,0
3540,4
3550,31
3560,8
3570,27
3580,0
3590,8
3600,3
3610,5
3620,6
3630,16
3640,2
3650,2
3660,2
3670,5
3680,14
3690,4
3700,0
3710,10
3720,2
3730,2
3740,4
3750,11
3760,20
3770,12
3780,7
3790,18
3800,0
3810,4
3820,4
3830,4
3840,1
3850,1
3860,4
3870,1
3880,18
3890,1
3900,3
3910,0
3920,15
3930,5
3940,40
3950,8
3960,0
3970,1
3980,4
3990,1
4000,1
4010,13
4020,2
4030,4
4040,1
4050,0
4060,6
4070,1
4080,26
4090,2
4100,13
4110,11
4120,28
4130,8
4140,5
4150,9
4160,15
4170,5
4180,2
4190,4
4200,4
4210,6
4220,15
4230,3
4240,1
4250,2
4260,5
4270,12
4280,6
4290,4
4300,5
4310,3
4320,5
4330,0
4340,8
4350,0
4360,0
4370,27
4380,7
4390,0
4400,2
4410,20
4420,15
4430,24
4440,12
4450,8
4460,4
4470,1
4480,0
4490,0
4500,11
4510,21
4520,17
4530,5
4540,5
4550,19
4560,4
4570,8
4580,2
4590,27
4600,6
4610,1
4620,0
4630,2
4640,0
4650,29
4660,4
4670,16
4680,54
4690,4
4700,5
4710,8
4720,2
4730,18
4740,24
4750,24
4760,22
4770,4
4780,0
4790,2
4800,4
4810,12
4820,16
4830,0
4840,20
4850,8
4860,2
4870,9
4880,0
4890,0
4900,0
4910,11
4920,14
4930,36
4940,0
4950,6
4960,2
4970,2
4980,36
4990,12
5000,1
5010,3
5020,4
5030,23
5040,3
5050,2
5060,4
5070,12
5080,16
5090,8
5100,28
5110,46
5120,2
5130,2
5140,4
5150,16
5160,6
5170,2
5180,1
5190,5
5200,4
5210,2
5220,11
5230,15
5240,8
5250,3
5260,0
5270,2
5280,12
5290,19
5300,4
5310,3
5320,13
5330,1
5340,6
5350,0
5360,34
5370,31
5380,29
5390,19
5400,14
5410,6
5420,13
5430,4
5440,7
5450,3
5460,1
5470,2
5480,13
5490,12
5500,1
5510,1
5520,31
5530,14
5540,7
5550,40
5560,24
5570,17
5580,31
5590,6
5600,2
5610,25
5620,42
5630,4
5640,3
5650,19
5660,0
5670,1
5680,0
5690,0
5700,2
5710,5
5720,4
5730,20
5740,3
5750,5
5760,14
5770,1
5780,22
5790,2
5800,19
5810,8
5820,0
5830,0
5840,23
5850,3
5860,38
5870,4
5880,8
5890,5
5900,16
5910,0
5920,0
5930,11
5940,2
5950,3
5960,6
5970,8
5980,4
5990,14
6000,1
6010,0
6020,40
6030,29
6040,0
6050,1
6060,5
6070,0
6080,4
6090,2
6100,20
6110,41
6120,9
6130,0
6140,11
6150,2
6160,15
6170,16
6180,3
6190,1
6200,21
6210,13
6220,2
6230,7
6240,2
6250,0
6260,2
6270,29
6280,7
6290,0
6300,9
6310,6
6320,15
6330,38
6340,10
6350,3
6360,19
6370,16
6380,27
6390,0
6400,18
6410,12
6420,2
6430,0
6440,11
6450,20
6460,16
6470,18
6480,54
6490,78
6500,39
6510,62
6520,1
6530,7
6540,18
6550,3
6560,2
6570,2
6580,23
6590,16
6600,4
6610,13
6620,13
6630,18
6640,51
6650,32
6660,1
6670,57
6680,28
6690,32
6700,3
6710,17
6720,0
6730,0
6740,50
6750,8
6760,31
6770,19
6780,40
6790,8
6800,25
6810,25
6820,13
6830,30
6840,0
6850,8
6860,0
6870,23
6880,21
6890,8
6900,13
6910,20
6920,0
6930,8
6940,1
6950,4
6960,23
6970,2
6980,5
6990,0
7000,33
7010,2
7020,3
7030,8
7040,2
7050,8
7060,1
7070,54
7080,26
7090,0
7100,3
7110,61
7120,0
7130,16
7140,19
7150,63
7160,2
7170,17
7180,8
7190,1
7200,0
7210,17
7220,8
7230,4
7240,36
7250,1
7260,11
7270,33
7280,1
7290,17
7300,2
7310,4
7320,16
7330,4
7340,11
7350,1
7360,20
7370,0
7380,8
7390,0
7400,27
7410,0
7420,2
7430,14
7440,24
7450,7
7460,4
7470,5
7480,45
7490,23
7500,1
7510,12
7520,49
7530,0
7540,2
7550,2
7560,11
7570,37
7580,0
7590,10
7600,20
7610,4
7620,42
7630,1
7640,38
7650,19
7660,12
7670,21
7680,32
7690,17
7700,25
7710,2
7720,5
7730,16
7740,11
7750,8
7760,14
7770,5
7780,6
7790,4
7800,3
7810,12
7820,35
7830,25
7840,26
7850,17
7860,50
7870,32
7880,5
7890,4
7900,22
7910,22
7920,12
7930,0
7940,4
7950,0
7960,14
7970,0
7980,12
7990,0
8000,0
8010,39
8020,24
8030,12
8040,20
8050,12
8060,2
8070,13
8080,1
8090,20
8100,0
8110,26
8120,1
8130,1
8140,14
8150,3
8160,28
8170,15
8180,12
8190,33
8200,22
8210,5
8220,10
8230,4
8240,4
8250,2
8260,67
8270,17
8280,12
8290,8
8300,18
8310,27
8320,4
8330,6
8340,6
8350,2
8360,3
8370,27
8380,18
8390,1
8400,9
8410,22
8420,72
8430,9
8440,12
8450,6
8460,18
8470,5
8480,1
8490,16
8500,6
8510,5
8520,1
8530,0
8540,6
8550,20
8560,6
8570,5
8580,28
8590,4
8600,24
8610,26
8620,2
8630,2
8640,20
8650,11
8660,3
8670,4
8680,5
8690,13
8700,1829
8710,3
8720,7
8730,1
8740,28
8750,13
8760,33
8770,0
8780,12
8790,8
8800,20
8810,6
8820,74
8830,22
8840,10
8850,15
8860,26
8870,11
8880,8
8890,11
8900,5
8910,15
8920,11
8930,9
8940,3
8950,22
8960,2
8970,32
8980,11
8990,16
9000,17
9010,12
9020,31
9030,4
9040,17
9050,82
9060,0
9070,12
9080,12
9090,33
9100,8
9110,12
9120,9
9130,2
9140,10
9150,27
9160,46
9170,41
9180,2
9190,8
9200,15
9210,0
9220,3
9230,17
9240,14
9250,58
9260,18
9270,2
9280,6
9290,3
9300,16
9310,20
9320,9
9330,34
9340,7
9350,8
9360,5
9370,4
9380,29
9390,19
9400,8
9410,24
9420,38
9430,1
9440,36
9450,15
9460,63
9470,13
9480,0
9490,6
9500,16
9510,2
9520,4
9530,58
9540,36
9550,8
9560,5
9570,0
9580,63
9590,3
9600,39
9610,4
9620,15
9630,0
9640,9
9650,8
9660,102
9670,18
9680,4
9690,1
9700,8
9710,0
9720,2
9730,1
9740,0
9750,26
9760,1
9770,4
9780,1
9790,4
9800,1
9810,44
9820,9
9830,8
9840,3
9850,4
9860,1
9870,19
9880,8
9890,23
9900,8
9910,8
9920,18
9930,12
9940,14
9950,4
9960,1
9970,22
9980,27
9990,55
10000,2
10010,13
10020,1
10030,30
10040,24
10050,8
10060,3
10070,0
10080,1
10090,15
10100,0
10110,23
10120,11
10130,36
10140,51
10150,5
10160,26
10170,16
10180,36
10190,46
10200,9
10210,12
10220,18
10230,14
10240,29
10250,4
10260,33
10270,25
10280,17
10290,8
10300,39
10310,2
10320,3
10330,24
10340,3
10350,54
10360,0
10370,9
10380,3
10390,91
10400,99
10410,5
10420,4
10430,15
10440,3
10450,4
10460,15
10470,53
10480,8
10490,17
10500,33
10510,6
10520,46
10530,44
10540,24
10550,32
10560,18
10570,0
10580,24
10590,19
10600,11
10610,28
10620,5
10630,43
10640,1
10650,11
10660,18
10670,1
10680,37
10690,14
10700,38
10710,18
10720,55
10730,2
10740,29
10750,12
10760,64
10770,8
10780,7
10790,74
10800,1
10810,17
10820,0
10830,69
10840,3
10850,25
10860,22
10870,32
10880,101
10890,3
10900,51
10910,8
10920,37
10930,1
10940,0
10950,18
10960,54
10970,23
10980,20
10990,32
11000,20
11010,31
11020,2
11030,51
11040,53
11050,23
11060,0
11070,19
11080,22
11090,73
11100,6
11110,2
11120,4
11130,6
11140,52
11150,14
11160,52
11170,29
11180,24
11190,8
11200,12
11210,9
11220,48
11230,9
11240,2
11250,4
11260,8
11270,4
11280,32
11290,16
11300,7
11310,26
11320,34
11330,15
11340,67
11350,19
11360,43
11370,4
11380,14
11390,14
11400,31
11410,22
11420,93
11430,38
11440,12
11450,18
11460,1
11470,24
11480,5
11490,43
11500,17
11510,49
11520,27
11530,39
11540,14
11550,8
11560,21
11570,22
11580,61
11590,64
11600,2
11610,4
11620,129
11630,43
11640,50
11650,36
11660,7
11670,15
11680,8
11690,4
11700,5
11710,0
11720,1
11730,6
11740,32
11750,0
11760,45
11770,8
11780,29
11790,28
11800,32
11810,12
11820,15
11830,35
11840,22
11850,26
11860,13
11870,49
11880,9
11890,7
11900,1
11910,5
11920,17
11930,0
11940,85
11950,80
11960,51
11970,60
11980,16
11990,5
12000,63
12010,34
12020,90
12030,42
12040,33
12050,1
12060,59
12070,37
12080,0
12090,24
12100,3
12110,46
12120,30
12130,78
12140,26
12150,13
12160,6
12170,73
12180,192
12190,27
12200,36
12210,6
12220,27
12230,31
12240,0
12250,8
12260,13
12270,1
12280,16
12290,46
12300,42
12310,2
12320,21
12330,54
12340,2
12350,14
12360,6
12370,14
12380,27
12390,31
12400,9
12410,2
12420,80
12430,76
12440,37
12450,98
12460,6
12470,2
12480,48
12490,48
12500,17
12510,69
12520,42
12530,13
12540,38
12550,47
12560,6
12570,7
12580,39
12590,27
12600,36
12610,4
12620,9
12630,5
12640,4
12650,12
12660,16
12670,6
12680,5
12690,0
12700,59
12710,4
12720,67
12730,66
12740,14
12750,18
12760,23
12770,54
12780,26
12790,11
12800,30
12810,2
12820,16
12830,9
12840,6
12850,4
12860,26
12870,0
12880,9
12890,4
12900,1
12910,13
12920,20
12930,16
12940,4
12950,14
12960,27
12970,11
12980,43
12990,38
13000,76
13010,16
13020,61
13030,24
13040,49
13050,183
13060,23
13070,26
13080,16
13090,59
13100,6
13110,17
13120,9
13130,42
13140,63
13150,2
13160,14
13170,0
13180,43
13190,5
13200,72
13210,11
13220,129
13230,5
13240,86
13250,60
13260,24
13270,16
13280,30
13290,20
13300,7
13310,17
13320,25
13330,12
13340,6
13350,66
13360,21
13370,22
13380,58
13390,24
13400,2
13410,57
13420,19
13430,23
13440,32
13450,21
13460,38
13470,155
13480,47
13490,28
13500,49
13510,29
13520,51
13530,25
13540,23
13550,28
13560,36
13570,29
13580,9
13590,5
13600,53
13610,12
13620,37
13630,58
13640,97
13650,44
13660,114
13670,29
13680,98
13690,55
13700,45
13710,32
13720,28
13730,29
13740,2
13750,50
13760,16
13770,1
13780,13
13790,42
13800,20
13810,3
13820,44
13830,32
13840,156
13850,71
13860,48
13870,0
13880,14
13890,8
13900,5
13910,26
13920,30
13930,48
13940,10
13950,104
13960,78
13970,17
13980,8
13990,0
14000,30
14010,22
14020,39
14030,56
14040,54
14050,28
14060,6
14070,0
14080,6
14090,39
14100,34
14110,18
14120,4
14130,6
14140,49
14150,22
14160,4
14170,60
14180,74
14190,34
14200,74
14210,44
14220,0
14230,29
14240,17
14250,8
14260,45
14270,37
14280,38
14290,26
14300,1
14310,40
14320,42
14330,2
14340,14
14350,50
14360,47
14370,82
14380,1
14390,23
14400,40
14410,7
14420,32
14430,44
14440,191
14450,81
14460,1
14470,129
14480,34
14490,35
14500,21
14510,4
14520,14
14530,80
14540,67
14550,1
14560,28
14570,6
14580,11
14590,4
14600,23
14610,27
14620,34
14630,6
14640,57
14650,31
14660,43
14670,15
14680,24
14690,92
14700,18
14710,8
14720,43
14730,79
14740,101
14750,18
14760,23
14770,4
14780,22
14790,60
14800,11
14810,70
14820,49
14830,22
14840,27
14850,4
14860,94
14870,54
14880,21
14890,31
14900,6
14910,71
14920,4
14930,131
14940,2
14950,8
14960,0
14970,63
14980,35
14990,3
15000,185
15010,5
15020,26
15030,12
15040,2
15050,59
15060,1
15070,88
15080,42
15090,1
15100,24
15110,14
15120,48
15130,42
15140,6
15150,20
15160,14
15170,1
15180,50
15190,39
15200,22
15210,8
15220,41
15230,1
15240,56
15250,13
15260,37
15270,26
15280,8
15290,31
15300,55
15310,9
15320,15
